Frame;Bone;X;Y;Z;RotX;RotY;RotZ
0;スカート_2_10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_9;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_7;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_11;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_2_2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_2_3;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_2_0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_2_1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右足D;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右ひざD;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_11;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右足首D;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左ひざD;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左足首D;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右足先EX;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左足D;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_3;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_4;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_9;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_3_7;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右足首;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;腰キャンセル左;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右足;0.000000;0.000000;0.000000;0.000000;0.192540;0.000000
0;右ひざ;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左足;0.000000;0.000000;0.000000;0.000000;-0.018749;0.000000
0;右つま先;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左つま先;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左ひざ;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左足首;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;ポニテ2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;ポニテ3;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;頭;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;ポニテ1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;両目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;下半身;0.000000;0.000000;0.000000;0.000000;0.999861;0.000000
0;腰キャンセル右;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;右目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;左目;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_11;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_9;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_4;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_1_3;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_2;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_3;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_1;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_4;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_7;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_8;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;スカート_0_6;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;センター;-0.300000;-0.200000;1.400000;0.000000;0.000000;0.000000
0;操作中心;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0;全ての親;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
39;右小指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
39;左小指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
39;右人指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
39;左人指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
39;左小指１;-0.000000;0.000000;0.000000;-0.008443;0.074852;-0.153048
39;右中指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
39;右薬指２;0.000000;0.000000;0.000000;0.000000;0.000000;0.162569
39;右中指１;0.000000;0.000000;0.000000;0.007105;0.037014;0.161997
39;右薬指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
39;右人指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
39;左薬指１;-0.000000;0.000000;0.000000;-0.009314;0.036521;-0.163049
39;左薬指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
39;左中指１;-0.000000;0.000000;0.000000;0.007105;-0.037014;-0.161997
39;左薬指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
39;右薬指１;0.000000;0.000000;0.000000;-0.009314;-0.036521;0.163049
39;左小指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
39;左中指３;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.107548
39;左人指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
39;左親指１;-0.000000;0.000000;0.000000;-0.149962;-0.163500;0.045464
39;左中指２;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.162569
39;左親指２;-0.000000;0.000000;0.000000;-0.026741;-0.025054;0.000000
39;右中指３;0.000000;0.000000;0.000000;0.000000;0.000000;0.107548
39;左親指０;-0.000000;0.000000;0.000000;0.000000;-0.000000;-0.000000
39;右親指０;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
